trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_area_id,drop_off_area_id,pickup_service_area_radius,drop_off_service_area_radius
t_179868_b_4263_tn_0,06:44:00,06:44:00,759575,12,,0,0,3205.45502846,1,,,,,1,1,,,,
t_179869_b_4263_tn_0,06:30:00,06:30:00,759499,1,,0,0,0,1,,,,,1,1,,,,
t_179869_b_4263_tn_0,,,760139,2,,0,0,200.986523282264,0,,,,,1,1,,,,
t_179869_b_4263_tn_0,,,759584,3,,0,0,399.323965063145,0,,,,,1,1,,,,
t_179869_b_4263_tn_0,06:32:00,06:32:00,759500,4,,0,0,706.242370641876,1,,,,,1,1,,,,
t_179869_b_4263_tn_0,,,759501,5,,0,0,806.057474608175,0,,,,,1,1,,,,
t_179869_b_4263_tn_0,,,759502,6,,0,0,1027.55319818208,0,,,,,1,1,,,,
t_179869_b_4263_tn_0,,,759503,7,,0,0,1294.68358135463,0,,,,,1,1,,,,
t_179869_b_4263_tn_0,06:35:00,06:35:00,759504,8,,0,0,1592.76706720083,1,,,,,1,1,,,,
t_179869_b_4263_tn_0,,,759505,9,,0,0,2090.4668114822,0,,,,,1,1,,,,
t_179869_b_4263_tn_0,,,759506,10,,0,0,2404.27262277784,0,,,,,1,1,,,,
t_179869_b_4263_tn_0,,,759507,11,,0,0,2712.41536385449,0,,,,,1,1,,,,
t_179869_b_4263_tn_0,06:38:00,06:38:00,759508,12,,0,0,2990.54503681594,1,,,,,1,1,,,,
t_179869_b_4263_tn_0,,,759509,13,,0,0,3357.3249799548,0,,,,,1,1,,,,
t_179869_b_4263_tn_0,,,759510,14,,0,0,3608.60063596108,0,,,,,1,1,,,,
t_179869_b_4263_tn_0,,,759511,15,,0,0,4202.67147962057,0,,,,,1,1,,,,
t_179869_b_4263_tn_0,06:40:00,06:40:00,759512,16,,0,0,4658.94540989841,1,,,,,1,1,,,,
t_179869_b_4263_tn_0,,,759513,17,,0,0,4973.09461600742,0,,,,,1,1,,,,
t_179869_b_4263_tn_0,,,778232,18,,0,0,5155.68536030482,0,,,,,1,1,,,,
t_179869_b_4263_tn_0,06:43:00,06:43:00,759514,19,,0,0,5304.88666696244,1,,,,,1,1,,,,
t_179869_b_4263_tn_0,,,759515,20,,0,0,6039.36358128008,0,,,,,1,1,,,,
t_179869_b_4263_tn_0,,,759516,21,,0,0,6300.42699718608,0,,,,,1,1,,,,
t_179869_b_4263_tn_0,06:46:00,06:46:00,759517,22,,0,0,6808.51205767748,1,,,,,1,1,,,,
t_179869_b_4263_tn_0,,,759518,23,,0,0,7257.3541999524,0,,,,,1,1,,,,
t_179869_b_4263_tn_0,06:47:00,06:47:00,759519,24,,0,0,7576.18532238693,1,,,,,1,1,,,,
t_179869_b_4263_tn_0,,,759520,25,,0,0,7830.24418871519,0,,,,,1,1,,,,
t_179869_b_4263_tn_0,,,759521,26,,0,0,8174.04621312355,0,,,,,1,1,,,,
t_179869_b_4263_tn_0,06:48:00,06:48:00,759547,27,,0,0,8288.23069542049,1,,,,,1,1,,,,
t_179869_b_4263_tn_0,,,759548,28,,0,0,9012.63475412909,0,,,,,1,1,,,,
t_179869_b_4263_tn_0,,,759549,29,,0,0,9281.76660500426,0,,,,,1,1,,,,
t_179869_b_4263_tn_0,06:50:00,06:50:00,759550,30,,0,0,9635.18500838258,1,,,,,1,1,,,,
t_179869_b_4263_tn_0,,,759551,31,,0,0,10024.0216796515,0,,,,,1,1,,,,
t_179869_b_4263_tn_0,,,759552,32,,0,0,10636.8934920088,0,,,,,1,1,,,,
t_179869_b_4263_tn_0,,,759553,33,,0,0,11168.5206155521,0,,,,,1,1,,,,
t_179869_b_4263_tn_0,06:55:00,06:55:00,759555,34,,0,0,11747.79955869,1,,,,,1,1,,,,
t_179870_b_4263_tn_0,06:15:00,06:15:00,760003,1,,0,0,0,1,,,,,1,1,,,,
t_179870_b_4263_tn_0,06:16:00,06:16:00,760004,2,,0,0,568.724637180291,1,,,,,1,1,,,,
t_179870_b_4263_tn_0,,,760005,3,,0,0,936.581528039245,0,,,,,1,1,,,,
t_179870_b_4263_tn_0,,,759939,4,,0,0,1291.18640774934,0,,,,,1,1,,,,
t_179870_b_4263_tn_0,06:18:00,06:18:00,760006,5,,0,0,1690.40448804223,1,,,,,1,1,,,,
