route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,trip_type,drt_max_travel_time,drt_avg_travel_time,drt_advance_book_min,drt_pickup_message,drt_drop_off_message,continuous_pickup_message,continuous_drop_off_message
1129,c_4299_b_4263_d_63,t_179920_b_4263_tn_8,,Porters Cove Rd. I-40/ End of the line,0,1369,p_2967,,,,,,,,,,
1129,c_4299_b_4263_d_63,t_179920_b_4263_tn_9,,Porters Cove Rd. I-40/ End of the line,0,1369,p_2967,,,,,,,,,,
1129,c_4299_b_4263_d_63,t_179908_b_4263_tn_13,,ART Station,1,1369,p_2993,,,,,,,,,,
1129,c_4299_b_4263_d_63,t_179908_b_4263_tn_2,,ART Station,1,1369,p_2993,,,,,,,,,,
1129,c_4299_b_4263_d_63,t_179908_b_4263_tn_3,,ART Station,1,1369,p_2993,,,,,,,,,,
1129,c_4299_b_4263_d_63,t_179908_b_4263_tn_4,,ART Station,1,1369,p_2993,,,,,,,,,,
1129,c_4299_b_4263_d_63,t_179908_b_4263_tn_5,,ART Station,1,1369,p_2993,,,,,,,,,,
1129,c_4299_b_4263_d_63,t_179908_b_4263_tn_6,,ART Station,1,1369,p_2993,,,,,,,,,,
1129,c_4299_b_4263_d_63,t_179908_b_4263_tn_7,,ART Station,1,1369,p_2993,,,,,,,,,,
1129,c_4299_b_4263_d_63,t_179908_b_4263_tn_8,,ART Station,1,1369,p_2993,,,,,,,,,,
1129,c_4299_b_4263_d_63,t_179908_b_4263_tn_9,,ART Station,1,1369,p_2993,,,,,,,,,,
1129,c_4299_b_4263_d_63,t_179908_b_4263_tn_11,,ART Station,1,1369,p_2993,,,,,,,,,,
1129,c_4299_b_4263_d_63,t_179908_b_4263_tn_10,,ART Station,1,1369,p_2993,,,,,,,,,,
1129,c_4299_b_4263_d_63,t_179908_b_4263_tn_1,,ART Station,1,1369,p_2993,,,,,,,,,,
1129,c_4299_b_4263_d_63,t_179908_b_4263_tn_12,,ART Station,1,1369,p_2993,,,,,,,,,,
1129,c_4299_b_4263_d_64,t_179951_b_4263_tn_4,,Porters Cove Rd. I-40/ End of the line,0,1371,p_2967,,,,,,,,,,
1129,c_4299_b_4263_d_64,t_179951_b_4263_tn_1,,Porters Cove Rd. I-40/ End of the line,0,1371,p_2967,,,,,,,,,,
1129,c_4299_b_4263_d_64,t_179951_b_4263_tn_5,,Porters Cove Rd. I-40/ End of the line,0,1371,p_2967,,,,,,,,,,
1129,c_4299_b_4263_d_64,t_179951_b_4263_tn_6,,Porters Cove Rd. I-40/ End of the line,0,1371,p_2967,,,,,,,,,,
1129,c_4299_b_4263_d_64,t_179951_b_4263_tn_7,,Porters Cove Rd. I-40/ End of the line,0,1371,p_2967,,,,,,,,,,
1129,c_4299_b_4263_d_64,t_179951_b_4263_tn_8,,Porters Cove Rd. I-40/ End of the line,0,1371,p_2967,,,,,,,,,,
1129,c_4299_b_4263_d_64,t_179951_b_4263_tn_9,,Porters Cove Rd. I-40/ End of the line,0,1371,p_2967,,,,,,,,,,
1129,c_4299_b_4263_d_64,t_179951_b_4263_tn_10,,Porters Cove Rd. I-40/ End of the line,0,1371,p_2967,,,,,,,,,,
1129,c_4299_b_4263_d_64,t_179951_b_4263_tn_2,,Porters Cove Rd. I-40/ End of the line,0,1371,p_2967,,,,,,,,,,
1129,c_4299_b_4263_d_64,t_179951_b_4263_tn_3,,Porters Cove Rd. I-40/ End of the line,0,1371,p_2967,,,,,,,,,,
1129,c_4299_b_4263_d_64,t_179909_b_4263_tn_7,,ART Station,1,1371,p_2993,,,,,,,,,,
1129,c_4299_b_4263_d_64,t_179909_b_4263_tn_1,,ART Station,1,1371,p_2993,,,,,,,,,,
1129,c_4299_b_4263_d_64,t_179909_b_4263_tn_10,,ART Station,1,1371,p_2993,,,,,,,,,,
1129,c_4299_b_4263_d_64,t_179909_b_4263_tn_2,,ART Station,1,1371,p_2993,,,,,,,,,,
1129,c_4299_b_4263_d_64,t_179909_b_4263_tn_3,,ART Station,1,1371,p_2993,,,,,,,,,,
1129,c_4299_b_4263_d_64,t_179909_b_4263_tn_9,,ART Station,1,1371,p_2993,,,,,,,,,,
